ក	ka
កញ្ជែះស្រូវ	kanhcheaehsruv
កញ្ជែះអង្ករ	kanhcheaehangkr
កញ្ជោ	kanhchou
កញ្ជះ	kanhcheah
កញ្ជះកញ្ជាយ	kanhcheahknhcheay
កញ្ជះកញ្ពាយ	kanhcheahknhpeay
កញ្ជះគេ	kanhcheahke
កញ្ជ្រក់	kanhchrk
កញ្ជ្រម	kanhchrm
កញ្ជ្រាំង	kanhchreang
កញ្ជ្រិល	kanhchril
កញ្ជ្រីវ	kanhchriv
កញ្ជ្រឹល	kanhchruel
កញ្ជ្រូក	kanhchruk
កញ្ជ្រួច	kanhchruoch
កញ្ជ្រៀច	kanhchriech
កញ្ជ្រៀប	kanhchrieb
កញ្ជ្រៀវ	kanhchriev
កញ្ជ្រោក	kanhchrouk
កញ្ជ្រោកគ្នា	kanhchroukknea
កញ្ជ្រោកបោក	kanhchroukbaok
កញ្ជ្រោង	kanhchroung
កញ្ជ្រោល	kanhchroul
កញ្ជ្រៅ	kanhchrov
កញ្ឈូស	kanhchhus
កញ្ញា	kanhnhea
កញ្ញាបង្ហាញម៉ូត	kanhnheabnghanhmut
កញ្ញារាសី	kanhnheareasei
កញ្ញាឯក	kanhnheaaek
កញ្រ្ចក់	kanhrchk
កញ្រ្ចិក	kanhrchek
កញ្រ្ជឹល	kanhrchuel
កញ្រ្ជៀវ	kanhrchiev
កញ្រ្ជោក	kanhrchouk
កញ្រ្ជោល	kanhrchoul
កដ	kad
កដប	kadab
កដាសុធាគត	kadasotheakt
កដិប្បទេស	kadebbtes
កដិពន្ធ	kadepnth
កដៃ	kadai
កដ្ឋ	kadth
កដ្ឋគ្គិ	kadthkki
កដ្ឋមណ្ឌប	kadthmondb
កដ្ឋមណ្ឌូ	kadthmondu
កឋិន	kathen
កឋិនត្ថារ	kathentthar
កឋិនទាន	kathentean
កឌ	kad
កណរោគ	kanarouk
កណសិលា	kanaselea
កណា	kana
កណាណូ	kananou
កណិកសិលា	kanekselea
កណិការ	kanekar
កណិតសាស្ដ្រ	kanetsasdr
កណ៌	kan
កណ្ដ	kand
កណ្ដក	kandk
កណ្ដកសញ្ញា	kandkasanhnhea
កណ្ដកា	kandka
កណ្ដកៈ	kandkak
កណ្ដក់	kandk
កណ្ដក់ក្រហូង	kandkkrhoung
កណ្ដក់ចិត្ត	kandkchett
កណ្ដប	kandb
កណ្ដាក់	kandak
កណ្ដាច	kandach
កណ្ដាច់	kandach
កណ្ដាច់លែះ	kandachleaeh
កណ្ដាញ់	kandanh
កណ្ដាញ់ព្រាយ	kandanhpreay
កណ្ដាប់	kandab
កណ្ដាប់ឈ្នាង	kandabchhneang
កណ្ដាប់ដៃ	kandabdai
កណ្ដាប់ស្រូវ	kandabsruv
កណ្ដាប់ស្រែង	kandabsreaeng
កណ្ដារ	kandar
កណ្ដាល	kandal
កណ្ដាលក	kandalk
កណ្ដាលខែ	kandalkhae
កណ្ដាលគ្នា	kandalknea
កណ្ដាលចំណោម	kandalchamnaom
កណ្ដាលថ្ងៃ	kandalthngey
កណ្ដាលទន្លេ	kandaltonle
កណ្ដាលនឹម	kandalnuem
កណ្ដាលផ្លូវ	kandalphluv
កណ្ដាលមុខ	kandalmukh
កណ្ដាលមុខគេ	kandalmukhke
កណ្ដាលយប់	kandalyob
កណ្ដាលរាត្រី	kandalreatri
កណ្ដាលលំហ	kandallumh
កណ្ដាលវាល	kandalveal
កណ្ដាលស្ទឹង	kandalstueng
កណ្ដាលអធ្រាត្រ	kandalaathreatr
កណ្ដាលអម្ពរ	kandalaampr
កណ្ដាលអាកាស	kandalaakas
កណ្ដាលអាយុ	kandalaayu
កណ្ដាល់	kandal
កណ្ដាស់	kandas
កណ្ដឹង	kandoeng
កណ្ដឹងគោ	kandoengkou
កណ្ដឹងដំរី	kandoengdamri
កណ្ដឹប	kandoeb
កណ្ដឹមឆែប	kandoemchhaeb
កណ្ដុក	kandok
កណ្ដុកចិត្ត	kandokchett
កណ្ដុរ	kandor
កណ្ដុរកន្លាត	kandorkanleat
កណ្ដុរឆ្វេង	kandorchhveng
កណ្ដុរបង្កង់	kandorbangkng
កណ្ដុរប្រមេះ	kandorbrmeh
កណ្ដុរប្រែង	kandorbreaeng
កណ្ដុរល្មេះ	kandorlmeh
កណ្ដុរល្មែះ	kandorlmeaeh
កណ្ដុរស	kandors
កណ្ដុរស្ដាំ	kandorsdam
កណ្ដុរស្រែ	kandorsreae
កណ្ដុំ	kandom
កណ្ដុំឆែប	kandomchhaeb
កណ្ដូង	kandoung
កណ្ដូប	kandoub
កណ្ដូបយាយជី	kandoubyeaychi
កណ្ដូបសេះ	kandoubseh
កណ្ដួយ	kanduoy
កណ្ដៀ	kandie
កណ្ដៀខ្មូត	kandiekhmut
កណ្ដៀង	kandieng
កណ្ដៀងរាយ	kandiengreay
កណ្ដៀងស្វាយ	kandiengsveay
កណ្ដៀត	kandiet
កណ្ដៀតកញ្ជើ	kandietkanhcheu
កណ្ដៀតក្អម	kandietkam
កណ្ដៀទៀ	kandietie
កណ្ដៀន	kandien
កណ្ដៀរ	kandier
កណ្ដៀវ	kandiev
កណ្ដេង	kandeng
កណ្ដេងដី	kandengdei
កណ្ដេងធ្លះ	kandengthleah
កណ្ដែក	kandaek
កណ្ដែង	kandaeng
កណ្ដែងកណ្ដោច	kandaengkandaoch
កណ្ដោក	kandaok
កណ្ដោច	kandaoch
កណ្ដោចកណ្ដែង	kandaochkandaeng
កណ្ដោរ	kandaor
កណ្ដោល	kandaol
កណ្ដោលជ្រុំ	kandaolchrum
កណ្ដោលជ្រំ	kandaolchrum
កណ្ដោលដុំ	kandaoldom
កណ្ដោលបាត	kandaolbat
កណ្ឋ	kanth
កណ្ឋជៈ	kanthcheak
កណ្ឌ	kand
កណ្ឌចូឡពន	kandchoulpon
កណ្ឌមហារាជបព្វៈ	kandmohareachbapveak
កណ្ឌៀរ	kandier
កណ្តក់ចិត្ត	kantkchett
កណ្តាច់	kantach
កណ្តាញ់	kantanh
កណ្តាញ់ព្រាយ	kantanhpreay
កណ្តាប់	kantab
កណ្តាប់ស្រែង	kantabsreaeng
កណ្តារ	kantar
កណ្តាល	kantal
កណ្តាលទន្លេ	kantaltonle
កណ្តាលផ្លូវ	kantalphluv
កណ្តាស់	kantas
កណ្តុក	kantok
កណ្តុរ	kantor
កណ្តុរប្រែង	kantorbreaeng
កណ្តុល	kantol
កណ្តូង	kantoung
កណ្តូប	kantoub
កណ្តៀតកញ្ជើ	kantietkanhcheu
កណ្តៀរ	kantier
កណ្តៀវសោយរាជ្យ	kantievsaoyreachy
កណ្តេង	kanteng
កណ្តេងដី	kantengdei
កណ្តេងធ្លះ	kantengthleah
កណ្តែង	kantaeng
កណ្តែងកណ្តោច	kantaengkantaoch
កណ្តោចកណ្តែង	kantaochkantaeng
កណ្តោល	kantaol
កណ្ហាជិនា	kanhachinea
កត	kat
កតញ្ញុតា	katanhnhuta
កតញ្ញុតាគុណ	katanhnhutakun
កតញ្ញុតាធម៌	katanhnhutathm
កតញ្ញូ	katanhnhu
កតញ្ញូគុណ	katanhnhukun
កតញ្ញូតា	katanhnhuta
កតញ្ញូតាធម៌	katanhnhutathm
កតមេហិ	katamehe
កតលិករ	katalikr
កតវសាន	katavosan
កតវេទិតា	katavetita
កតវេទិនី	katavetini
កតវេទី	kataveti
កតាវសាន	katavsan
កតាវសាន្ត	katavsant
កតិកា	kateka
កតិកាភេទ	katekaphet
កតិកាសញ្ញា	katekasnhnhea
កតឹប	katoeb
កតូបការៈ	katoubkareak
កត់	kat
កត់ចិត្តចងចាំ	katchettchangocham
កត់ចំណាំ	katchamnam
កត់ឈ្មោះ	katchhmuoh
កត់ត្រា	kattrea
កត់ទុក	kattuk
កត់ទុកនូវជោគជ័យ	kattuknuvchoukchey
កត់ពន្ធ	katpnth
កត់ភិន	katphin
កត់សម្គាល់	katsmkeal
កត់សំគាល់	katsamkeal
កត់ហេតុ	katheto
កត្ដា	katda
កត្ដិក	katdek
កត្តា	katta
កត្តាចង្រៃ	kattachngrey
កត្តាចាំបាច់	kattachambach
កត្តានយោបាយ	kattanyoubay
កត្តាបន្តពូជ	kattabntpuch
កត្តាបំលាស់ប្ដូរ	kattabamleasbdour
កត្តាប្យូទិច	kattabyutich
កត្តាផលិតកម្ម	kattaphlitkamm
កត្តារួម	kattaruom
កត្តាវិភាគ	kattavipheak
កត្តាស៊ីនេទិច	kattasinetich
កត្តិក	kattek
កត្តុវាចក	kattoveachk
កត្តុំ	kattom
កត្រង់	katrng
កត្វា	katvea
កថន	kathan
កថា	katha
កថាខណ្ឌ	kathakhnd
កថាចរិយ	kathachriy
កថាចាយ៌	kathachay
កថាចារ្យ	kathachary
